Sheet1/Response ID,Sheet1/Would you work for a company whose mission is not clearly defined and publicly posted.,Sheet1/How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,Sheet1/How likely would you work for a company whose mission is not bringing social impact ?,"Sheet1/For the First 3 years of your career, what is your minimum expected monthly salary in Hand?","Sheet1/After 5 years of your career from now, what is your minimum expected monthly salary in Hand?",Sheet1/Would you work for a company that has Laid-Off Employees recently ?
332,No,Will NOT work for them,1,>50k,91k to 110k,
333,No,Will NOT work for them,5,31k to 40k,91k to 110k,
334,No,Will NOT work for them,5,21k to 25k,50k to 70k,
335,No,Will NOT work for them,5,>50k,>151k,
336,No,Will NOT work for them,1,21k to 25k,50k to 70k,
337,No,Will NOT work for them,2,41k to 50k,50k to 70k,
338,No,Will NOT work for them,8,26k to 30k,91k to 110k,
339,No,Will NOT work for them,5,41k to 50k,91k to 110k,
340,Yes,Will work for them,5,>50k,>151k,
341,No,Will NOT work for them,8,>50k,>151k,
342,No,Will NOT work for them,7,11k to 15k,111k to 130k,
343,Yes,Will NOT work for them,8,21k to 25k,>151k,
344,No,Will NOT work for them,6,>50k,>151k,
345,No,Will NOT work for them,10,41k to 50k,131k to 150k,
346,No,Will NOT work for them,4,>50k,>151k,
347,No,Will NOT work for them,5,>50k,>151k,
348,No,Will work for them,6,41k to 50k,71k to 90k,
349,No,Will NOT work for them,8,>50k,>151k,
350,No,Will NOT work for them,4,26k to 30k,91k to 110k,
351,No,Will NOT work for them,1,26k to 30k,71k to 90k,
352,No,Will NOT work for them,7,41k to 50k,111k to 130k,
353,No,Will NOT work for them,1,41k to 50k,131k to 150k,
354,Yes,Will work for them,4,>50k,>151k,
355,No,Will NOT work for them,5,41k to 50k,>151k,
356,Yes,Will work for them,6,26k to 30k,50k to 70k,
357,No,Will NOT work for them,5,31k to 40k,91k to 110k,
358,No,Will NOT work for them,6,21k to 25k,>151k,
359,No,Will work for them,8,16k to 20k,30k to 50k,
360,No,Will NOT work for them,4,>50k,131k to 150k,
361,No,Will NOT work for them,8,>50k,>151k,
362,No,Will NOT work for them,10,26k to 30k,30k to 50k,
363,Yes,Will NOT work for them,5,>50k,91k to 110k,
364,Yes,Will work for them,2,16k to 20k,71k to 90k,
365,No,Will work for them,9,41k to 50k,91k to 110k,
366,No,Will NOT work for them,6,>50k,>151k,
367,No,Will NOT work for them,5,21k to 25k,91k to 110k,
368,No,Will work for them,5,41k to 50k,91k to 110k,
369,No,Will NOT work for them,5,41k to 50k,91k to 110k,
370,Yes,Will NOT work for them,6,26k to 30k,50k to 70k,
371,No,Will NOT work for them,7,41k to 50k,91k to 110k,
372,Yes,Will NOT work for them,7,31k to 40k,71k to 90k,
373,No,Will NOT work for them,1,21k to 25k,>151k,
374,No,Will NOT work for them,2,>50k,>151k,
375,Yes,Will work for them,2,>50k,>151k,
376,No,Will NOT work for them,10,41k to 50k,91k to 110k,
377,Yes,Will work for them,5,31k to 40k,91k to 110k,
378,Yes,Will NOT work for them,6,31k to 40k,131k to 150k,
379,Yes,Will work for them,10,31k to 40k,131k to 150k,
380,Yes,Will work for them,5,>50k,>151k,
381,No,Will NOT work for them,5,41k to 50k,>151k,
382,No,Will NOT work for them,5,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
383,No,Will NOT work for them,3,41k to 50k,111k to 130k,No
384,No,Will work for them,5,16k to 20k,50k to 70k,No
385,No,Will NOT work for them,1,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
386,No,Will NOT work for them,6,26k to 30k,71k to 90k,No
387,No,Will NOT work for them,1,>50k,>151k,No
388,Yes,Will NOT work for them,8,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
389,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
390,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
391,No,Will NOT work for them,5,41k to 50k,>151k,No
392,Yes,Will NOT work for them,5,>50k,91k to 110k,No
393,Yes,Will NOT work for them,7,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
394,Yes,Will NOT work for them,7,41k to 50k,>151k,I have NO other choice
395,No,Will NOT work for them,5,41k to 50k,111k to 130k,No
396,No,Will NOT work for them,4,26k to 30k,>151k,I have NO other choice
397,No,Will NOT work for them,1,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
398,No,Will NOT work for them,6,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
399,No,Will NOT work for them,8,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
400,No,Will NOT work for them,5,31k to 40k,111k to 130k,I have NO other choice
401,No,Will NOT work for them,5,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
402,No,Will work for them,8,>50k,91k to 110k,I have NO other choice
403,Yes,Will NOT work for them,4,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
404,No,Will NOT work for them,8,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
405,No,Will NOT work for them,6,41k to 50k,131k to 150k,I have NO other choice
406,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
407,Yes,Will NOT work for them,9,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
408,No,Will NOT work for them,3,11k to 15k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
409,No,Will work for them,7,31k to 40k,131k to 150k,No
410,No,Will NOT work for them,2,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
