Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
611,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,711102,"""Business Operations in any organization"
612,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,520015
613,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,607104
614,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,842002
615,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,517501
616,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,208027
617,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,400022
618,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,522503
619,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,535125,"""Business Operations in any organization"
620,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,364001
621,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,91
622,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,711102
623,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
624,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,400064
625,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,500045
626,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
627,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,440014
628,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,400059
629,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,442902
630,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,600088,"""Design and Creative strategy in any company"
631,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,641402
632,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,606601
633,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,400075,"""Design and Creative strategy in any company"
634,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,58200
635,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400067,"""Design and Creative strategy in any company"
636,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,452002
637,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,522101,"""Business Operations in any organization"
638,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560023
639,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,442902
640,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,442902
