Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
2787,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,422006
2788,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,416601
2789,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
2790,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,382425
2791,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,251001
2792,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,221107
2793,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,324010
2794,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,600040
2795,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600092,"""Design and Creative strategy in any company"
2796,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,625016
2797,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,515672
2798,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,700020
2799,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,631205,"""Business Operations in any organization"
2800,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,440023
2801,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
2802,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,462001
2803,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,700160,"""Design and Creative strategy in any company"
2804,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,505325,"""Design and Creative strategy in any company"
2805,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,400069
2806,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,53757
2807,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,63263
2808,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,110037
2809,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,63263
2810,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,444001,"""Manage and drive End-to-End Projects or Products"
2811,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500068
2812,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,382418
2813,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,500081
2814,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,560068
2815,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,281001
2816,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,517425
2817,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,410303
2818,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with No option to visit offices
2819,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,401303
2820,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,401303
2821,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,482001,"""Design and Creative strategy in any company"
2822,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,401304
2823,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,400020,"""Manage and drive End-to-End Projects or Products"
2824,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,342030,"""Business Operations in any organization"
2825,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,226005
2826,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,500042,"""Design and Creative strategy in any company"
2827,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
2828,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,421202
2829,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500029,"""Design and Creative strategy in any company"
2830,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,560036
2831,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
2832,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,712201,"""Business Operations in any organization"
2833,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,410208
2834,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,462001
2835,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,501501
2836,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,603001,"""Manage and drive End-to-End Projects or Products"
2837,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600127,"""Design and Creative strategy in any company"
2838,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,522034
2839,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,521456
2840,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,500075,"""Manage and drive End-to-End Projects or Products"
2841,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,585214,"""Business Operations in any organization"
2842,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
2843,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,799004
2844,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,160047,"""Design and Creative strategy in any company"
2845,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
2846,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,47408
2847,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500010
2848,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500047
2849,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,50062
2850,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,52064
2851,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500047
2852,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,411028
2853,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,411028
2854,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,695001
2855,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500085,"""Design and Develop amazing software"
2856,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,122010,"""Design and Creative strategy in any company"
2857,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,201007
2858,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,400071
2859,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,700040
2860,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,34348
2861,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,410210,"""Manage and drive End-to-End Projects or Products"
2862,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
2863,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,201009
2864,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,110044
2865,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,600017
2866,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,400043
2867,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,313001
2868,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,582209
2869,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,441108
2870,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
2871,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,495001
2872,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,632009,"""Teaching in any of the institutes/colleges/online or offline"
2873,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,622514
2874,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with No option to visit offices
2875,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,411038,"""Design and Creative strategy in any company"
2876,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,600073
2877,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,201301,"""Design and Creative strategy in any company"
2878,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,501301
2879,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500037
2880,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,401202
2881,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560003
2882,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,401202
2883,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,401202
2884,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500054,"""Teaching in any of the institutes/colleges/online or offline"
2885,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Every Day Office Environment
2886,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,91
2887,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,500072,"""Teaching in any of the institutes/colleges/online or offline"
2888,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,560068,"""Design and Creative strategy in any company"
2889,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,743248
2890,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,415004
2891,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,411022
2892,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,110059
2893,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,570017
2894,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,603313
2895,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,422009,"""Business Operations in any organization"
2896,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,401202
2897,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,573112
2898,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,732142,"""Manage and drive End-to-End Projects or Products"
2899,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,562162
2900,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,600086,"""Business Operations in any organization"
2901,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,560100
2902,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
2903,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2904,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,560048
2905,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,802301,"""Design and Creative strategy in any company"
2906,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,110065
2907,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2908,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,585105
2909,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,63743
2910,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,221106
2911,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,560068
2912,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,743144
2913,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,110037,"""Business Operations in any organization"
2914,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,302031
2915,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400615
2916,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,271313
2917,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560037
2918,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,401202
2919,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2920,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,203001
2921,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,110030
2922,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,800020
2923,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,226012,"""Design and Creative strategy in any company"
2924,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,518501
2925,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,581115,"""Design and Creative strategy in any company"
2926,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,802301
2927,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,515465
2928,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,515411,"""Teaching in any of the institutes/colleges/online or offline"
2929,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,421502
2930,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,91
2931,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,203202,"""Business Operations in any organization"
2932,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,848101
2933,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,201307
2934,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500036,"""Design and Creative strategy in any company"
2935,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
2936,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,560068,"""Business Operations in any organization"
2937,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,600053
2938,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,247776
2939,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560076,"""Design and Creative strategy in any company"
2940,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,110030
2941,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,400052
2942,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,442401,"""Business Operations in any organization"
2943,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,110030,"""Design and Creative strategy in any company"
2944,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,110030,"""Design and Creative strategy in any company"
2945,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,110053
2946,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
2947,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,515761
2948,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,515414
2949,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2950,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,411021
2951,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,515414
2952,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2953,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,700018
2954,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,577133,"""Design and Creative strategy in any company"
2955,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,560068,"""Business Operations in any organization"
2956,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,502279
2957,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,571105
2958,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,522601,"""Design and Creative strategy in any company"
2959,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,415612
2960,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,530001
2961,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,226028
2962,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,577134,"""Design and Creative strategy in any company"
2963,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,530027
2964,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,201301,"""Manage and drive End-to-End Projects or Products"
2965,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,802119
2966,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,636141
2967,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,626002
2968,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,761008,"""Teaching in any of the institutes/colleges/online or offline"
2969,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500081,"""Business Operations in any organization"
2970,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,500072,"""Design and Creative strategy in any company"
2971,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,380015
2972,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
2973,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,400601
2974,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
2975,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,396191
2976,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,396185
2977,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,396125
2978,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,390002,"""Teaching in any of the institutes/colleges/online or offline"
2979,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,382010,"""Teaching in any of the institutes/colleges/online or offline"
2980,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,396191
2981,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,396195
2982,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,396191,"""Design and Creative strategy in any company"
2983,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,396191,"""Business Operations in any organization"
2984,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,122001
2985,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,370655
2986,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,370511,"""Design and Creative strategy in any company"
2987,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,396191,"""Manage and drive End-to-End Projects or Products"
2988,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,396191
2989,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,400097
2990,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,226016
2991,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,788163
2992,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,422011
2993,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,831014
2994,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
2995,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,524002
2996,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,800024,"""Manage and drive End-to-End Projects or Products"
2997,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,751019
2998,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,788007
2999,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,396005
3000,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
3001,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,500077
3002,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,411014
3003,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,788104
3004,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,523227,"""Design and Creative strategy in any company"
3005,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
3006,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,396191
3007,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,505001,"""Business Operations in any organization"
3008,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,411019
3009,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,452010
3010,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with No option to visit offices
3011,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,600061
3012,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,452001,"""Design and Creative strategy in any company"
3013,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,452010,"""Business Operations in any organization"
3014,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,201005,"""Design and Creative strategy in any company"
3015,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,601204
3016,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,452003,"""Build and develop a Team"
3017,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,110094
3018,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
3019,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,431001
3020,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,75330
3021,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,422006
3022,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,530041
3023,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,524002
3024,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,248001,"""Manage and drive End-to-End Projects or Products"
3025,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,332601
3026,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,507116
3027,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,603203,"""Teaching in any of the institutes/colleges/online or offline"
3028,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,503185,"""Build and develop a Team"
3029,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,201010,"""Teaching in any of the institutes/colleges/online or offline"
3030,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,201010,"""Design and Creative strategy in any company"
3031,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
3032,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,600073
3033,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
3034,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,110091,"""Design and Creative strategy in any company"
3035,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,201310
